Unnamed: 0,_STATE,NAME,population,total_pop,total_asthma_burden,PR,at_risk,num,IR,year
42,46,South Dakota,211280,,,,,,,2015
43,47,Tennessee,1499134,,,,,,,2015
44,48,Texas,7239390,6879649.151121766,541848.3670692645,0.0787610465543745,6337800.784052501,24719.439782027133,0.0039003182056822,2015
45,49,Utah,910626,891809.5934536872,63272.201240209935,0.0709481056322542,828537.3922134772,6493.089029404508,0.0078368086828983,2015
46,50,Vermont,120051,115820.4459682008,11952.180768974798,0.1031957757463336,103868.265199226,,,2015
47,51,Virginia,1867041,,,,,,,2015
48,53,Washington,1614217,,,,,,,2015
49,54,West Virginia,378115,,,,,,,2015
50,55,Wisconsin,1295104,1231985.815100751,90028.46108319996,0.0730758909556418,1141957.3540175506,,,2015
51,56,Wyoming,139549,,,,,,,2015
0,0,United States,73648378,,,0.0803484908077688,,,0.008951245098855,2016
1,1,Alabama,1099429,,,,,,,2016
2,2,Alaska,186851,,,,,,,2016
3,4,Arizona,1635214,1611948.2475735026,129243.93622004728,0.0801787131904518,1482704.3113534553,,,2016
4,5,Arkansas,705926,,,,,,,2016
5,6,California,9087019,7665750.644208705,588421.4350639064,0.0767597933163199,7077329.209144799,,,2016
6,8,Colorado,1262976,,,,,,,2016
7,9,Connecticut,751855,719931.6704642514,78916.23356870002,0.1096162827755729,641015.4368955514,8528.067720064613,0.0133039974222246,2016
8,10,Delaware,203729,,,,,,,2016
9,11,District of Columbia,121480,,,,,,,2016
10,12,Florida,4159346,3890999.820785364,304052.7732053816,0.0781425821664549,3586947.0475799823,47348.38184870531,0.013200189805046,2016
11,13,Georgia,2508265,2346581.757009897,207109.37805994748,0.0882600307623008,2139472.378949949,,,2016
12,15,Hawaii,307166,299304.94030735106,30630.134893529143,0.1023375520032365,268674.80541382194,,,2016
13,16,Idaho,437730,,,,,,,2016
14,17,Illinois,2929710,2835199.178655695,207643.8647867371,0.0732378403429106,2627555.313868958,,,2016
15,18,Indiana,1575894,1524084.1767692815,124717.9509612048,0.0818314059434558,1399366.225808077,5073.1559419355,0.003625323984796,2016
16,19,Iowa,730843,,,,,,,2016
17,20,Kansas,716900,691954.4902662872,61729.39417092429,0.0892101937905898,630225.0960953629,5601.300604488296,0.0088877777784347,2016
18,21,Kentucky,1011692,951890.61566743,74500.04564266525,0.0782653431144802,877390.5700247649,,,2016
19,22,Louisiana,1114121,,,,,,,2016
20,23,Maine,254497,245244.32694606535,18009.494410751788,0.0734349072821263,227234.8325353136,1402.2611259235057,0.0061709778834439,2016
21,24,Maryland,1345549,,,,,,,2016
22,25,Massachusetts,1378299,,,,,,,2016
23,26,Michigan,2193921,2090823.620952555,185141.07179385604,0.0885493496144394,1905682.5491586989,20934.081516159476,0.0109850832844123,2016
24,27,Minnesota,1292129,1243608.6756297888,85116.52627155426,0.0684431750433467,1158492.1493582346,8247.852973993144,0.007119472478568,2016
25,28,Mississippi,720956,686850.5053124147,44741.31255403954,0.0651398116591454,642109.1927583752,,,2016
26,29,Missouri,1386157,1338303.8320224597,115544.81165837515,0.0863367561936683,1222759.0203640845,,,2016
27,30,Montana,227821,219929.98391665696,12728.422053160188,0.0578748828444586,207201.5618634968,,,2016
28,31,Nebraska,473844,467975.9895119571,29824.700454810845,0.0637312621229017,438151.28905714623,3924.800862945942,0.0089576385165765,2016
29,32,Nevada,675073,637277.4503395527,41263.809250504586,0.064750148037591,596013.6410890481,,,2016
30,33,New Hampshire,262446,,,,,,,2016
31,34,New Jersey,1971334,1896894.092665415,154200.9896289683,0.081291301515043,1742693.1030364467,9619.02860003611,0.0055196342851624,2016
32,35,New Mexico,494726,477933.0769898008,47111.9977899381,0.0985744658785009,430821.07919986267,,,2016
33,36,New York,4150467,,,,,23453.172110811047,,2016
34,37,North Carolina,2294062,,,,,,,2016
35,38,North Dakota,175389,,,,,,,2016
